0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:16:47 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:16:55 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:16:55 +0900] "GET /resources/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:16:55 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:16:55 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:02 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:02 +0900] "GET /resources/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:02 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:02 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:37 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:38 +0900] "GET /resources/js/products.js HTTP/1.1" 200 90
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:38 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:38 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:43 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:43 +0900] "GET /resources/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:45 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:17:45 +0900] "GET /resources/js/products.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:43:09 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:43:09 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:50:54 +0900] "GET /category/1 HTTP/1.1" 500 11747
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:51:41 +0900] "GET /category/1 HTTP/1.1" 500 11747
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:51:45 +0900] "GET / HTTP/1.1" 200 9490
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:51:45 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:51:45 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:51:46 +0900] "GET /category/1 HTTP/1.1" 500 11747
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:20 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:20 +0900] "GET /resources/js/products.js HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:20 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:21 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:23 +0900] "POST /category/paging HTTP/1.1" 415 763
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:23 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:24 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:24 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:29 +0900] "POST /category/paging HTTP/1.1" 415 763
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:29 +0900] "GET /category/1 HTTP/1.1" 200 9179
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:33 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:52:33 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Dec/2020:16:53:40 +0900] "GET /category/1 HTTP/1.1" 200 9179
